line,part,cost,coreprice,qtyonhand,packs,sku
,09.5084.30,115.78,,0,,09.5084.30
,09.8697.81,207.77,,0,,09.8697.81
,09.5017.10,125.37,,0,,09.5017.10
,19-029160,170.96,,0,,19-029160
,09.B461.11,188.85,,0,,09.B461.11
,09.B842.41,478.57,,0,,09.B842.41
,09.A272.11,179.12,,0,,09.A272.11
,09.9793.1X,226.76,,0,,09.9793.1X
,09.9508.11,197.09,,0,,09.9508.11
,WK 8105,202.38,,0,,WK 8105
,09.8760.1X,231.96,,0,,09.8760.1X
,08.6931.11,144.66,,0,,08.6931.11
,08.A534.21,112.21,,0,,08.A534.21
,08.A205.1X,259.95,,0,,08.A205.1X
,08.B348.4X,241.29,,0,,08.B348.4X
,09.9726.11,171.46,,0,,09.9726.11
,09.5745.21,207.22,,0,,09.5745.21
,X32SL2624,11.64,,18,,HDHN_X32SL2624
,X07SL7311,11.08,,20,,HDHN_X07SL7311
,08.A147.1X,200.14,,0,,08.A147.1X
,09.A531.10,197.8,,0,,09.A531.10
,09.7820.10,117.84,,0,,09.7820.10
,X25BJ2109,11.69,,24,,HDHN_X25BJ2109
,09.B269.11,358.76,,0,,09.B269.11
,09.9610.11,138.17,,0,,09.9610.11
,09.9626.14,140.82,,0,,09.9626.14
,09.B595.11,183.05,,0,,09.B595.11
,09.7010.2X,358.26,,0,,09.7010.2X
,X15CA0524,60.33,,13,,HDHN_X15CA0524
,X07SL7645,16.42,,16,,HDHN_X07SL7645
,X21SL0014,24.73,,16,,HDHN_X21SL0014
,315913,74.32,,2,,BCLZ_315913
,313472,79.31,,54,,BCLZ_313472
,X15BJ0455,15.75,,15,,HDHN_X15BJ0455
,X05CJ7013,77.8,,15,,HDHN_X05CJ7013
,X22CA6957,110.6,,6,,HDHN_X22CA6957
,X22LA7718,56.4,,25,,HDHN_X22LA7718
,3475601,23.75,,36,,CNHX_3475601
,73245,28.87,,0,,CHMT_73245
,75139,24.19,,0,,CHMT_75139
,75109,21.51,,0,,CHMT_75109
,13079021,247.49,,3,,BKNJ_13079021
,13462017,19.71,,27,,BKNJ_13462017
,13067051,104.91,,7,,BKNJ_13067051
,13456005,18.29,,27,,BKNJ_13456005
,13067016,75.66,,78,,BKNJ_13067016
,13079022,155.31,,9,,BKNJ_13079022
,14277,7.41,,6,,BBVZ_14277
,2206369,14.8,,4,,FTTD_2206369
,2203767,6.34,,11,,FTTD_2203767
,15262,2.56,,2,,BBVZ_15262
,2206111,15.34,,8,,FTTD_2206111
,2203835,7.84,,8,,FTTD_2203835
,16024,5.23,,1,,BBVZ_16024
,14094,5.82,,2,,BBVZ_14094
,2203573,8.8,,7,,FTTD_2203573
,14267,5.41,,9,,BBVZ_14267
,15156,4.82,,18,,BBVZ_15156
,14242,4.79,,1,,BBVZ_14242
,15202,2.86,,1,,BBVZ_15202
,14137,8.78,,62,,BBVZ_14137
,14252,3.74,,3,,BBVZ_14252
,15190,5.55,,6,,BBVZ_15190
,2203873,9.32,,3,,FTTD_2203873
,2206705,13.25,,4,,FTTD_2206705
,PTK1276,6.31,,9,,DGTF_PTK1276
,PA99080L,10.76,,4,,DGTF_PA99080L
,PA5591,6.77,,27,,DGTF_PA5591
,PA5784,7.9,,3,,DGTF_PA5784
,6PK1400,8.83,,15,,BRBV_6PK1400
,PF4665,3.75,,32,,DGTF_PF4665
,5PK1330,14.56,,2,,BRBV_5PK1330
,PC5559,11.87,,8,,DGTF_PC5559
,PF4692,15.73,,13,,DGTF_PF4692
,6PK1195,8.83,,11,,BRBV_6PK1195
,PTK1255,15.91,,22,,DGTF_PTK1255
,PC5623,9.59,,60,,DGTF_PC5623
,PO5259,6.91,,108,,DGTF_PO5259
,PA5780,5.92,,217,,DGTF_PA5780
,6PK1095,13.43,,22,,BRBV_6PK1095
,PO8161EX,6.1,,506,,DGTF_PO8161EX
,PC6076C,16.87,,16,,DGTF_PC6076C
,PF5618,8.08,,77,,DGTF_PF5618
,PO5514,5.87,,438,,DGTF_PO5514
,PC5654,5.5,,161,,DGTF_PC5654
,PA4636,3.79,,5,,DGTF_PA4636
,PC6176,7.26,,186,,DGTF_PC6176
,PA5625,7.86,,198,,DGTF_PA5625
,PF222,9.67,,129,,DGTF_PF222
,PO6293EX,3.53,,226,,DGTF_PO6293EX
,PA5799,12.26,,185,,DGTF_PA5799
,PO5848,3.71,,434,,DGTF_PO5848
,4PK1195,11.15,,26,,BRBV_4PK1195
,PC6091,5.5,,23,,DGTF_PC6091
,PA5671,8.01,,56,,DGTF_PA5671
,PO99064EX,4.08,,545,,DGTF_PO99064EX
,PO5505EX,6.26,,32,,DGTF_PO5505EX
,4PK850,7.97,,55,,BRBV_4PK850
,PC5840C,11.97,,105,,DGTF_PC5840C
,DF99188,16.02,,10,,DGTF_DF99188
,PTK1194,8.57,,9,,DGTF_PTK1194
,PO5609,3.44,,897,,DGTF_PO5609
,PA4297,4.4,,67,,DGTF_PA4297
,PA5632,11.4,,12,,DGTF_PA5632
,PA5700,8.48,,176,,DGTF_PA5700
,PO5195,3.02,,321,,DGTF_PO5195
,PF4728,2.72,,38,,DGTF_PF4728
,PTK1233,7.62,,21,,DGTF_PTK1233
,PA6141,6.68,,28,,DGTF_PA6141
,PF4638,4.91,,45,,DGTF_PF4638
,PO5247EX,6.56,,194,,DGTF_PO5247EX
,PO4619,1.96,,348,,DGTF_PO4619
,PF5617,7.13,,15,,DGTF_PF5617
,PO9983EX,4.15,,181,,DGTF_PO9983EX
,PO7019,3.36,,358,,DGTF_PO7019
,PC5576,7.76,,18,,DGTF_PC5576
,PTK1284,17.51,,15,,DGTF_PTK1284
,6PK2070,23.62,,22,,BRBV_6PK2070
,PF7221,2.83,,173,,DGTF_PF7221
,PA5797L,9.04,,110,,DGTF_PA5797L
,PF99121,13.68,,31,,DGTF_PF99121
,PA5653,7.13,,317,,DGTF_PA5653
,PF4833,4.43,,21,,DGTF_PF4833
,DF99138,25.05,,28,,DGTF_DF99138
,PF8062,10.27,,4,,DGTF_PF8062
,PA5589,10.57,,29,,DGTF_PA5589
,PO5641,3.64,,73,,DGTF_PO5641
,PF4607,7.77,,5,,DGTF_PF4607
,PO4651,1.91,,5981,,DGTF_PO4651
,PA5897,8.29,,8,,DGTF_PA5897
,PO5277EX,6.45,,302,,DGTF_PO5277EX
,PC7615,7.34,,2,,DGTF_PC7615
,4PK900,8.46,,50,,BRBV_4PK900
,PTK1296,9.45,,29,,DGTF_PTK1296
,PA6320,6.97,,235,,DGTF_PA6320
,PA6062,5.31,,27,,DGTF_PA6062
,5PK980,10.63,,26,,BRBV_5PK980
,PO8113EX,5.28,,221,,DGTF_PO8113EX
,PO2500,1.8,,6012,,DGTF_PO2500
,PA5797R,9.04,,4,,DGTF_PA5797R
,PA4471,5.06,,5,,DGTF_PA4471
,PO9934,3.92,,92,,DGTF_PO9934
,PTK1215,5.7,,52,,DGTF_PTK1215
,PO5280,5.99,,391,,DGTF_PO5280
,PC5760C,9.12,,32,,DGTF_PC5760C
,7PK1905,14.23,,55,,BRBV_7PK1905
,PO5436EX,4.95,,257,,DGTF_PO5436EX
,PA5841,9.03,,153,,DGTF_PA5841
,PF4664,4.91,,440,,DGTF_PF4664
,PTK99131,7,,45,,DGTF_PTK99131
,PO4457,1.84,,618,,DGTF_PO4457
,PO4872,6.1,,440,,DGTF_PO4872
,PA5791,8.83,,12,,DGTF_PA5791
,4PK800,4.58,,19,,BRBV_4PK800
,PA5802,8.92,,5,,DGTF_PA5802
,5PK1080,11.21,,10,,BRBV_5PK1080
,PA6318,8.04,,37,,DGTF_PA6318
,PA99002,8.88,,18,,DGTF_PA99002
,PA5795,9.82,,32,,DGTF_PA5795
,PA5647,6.37,,186,,DGTF_PA5647
,PA5826,10.85,,20,,DGTF_PA5826
,5PK875,9.48,,89,,BRBV_5PK875
,PA6171,5.95,,555,,DGTF_PA6171
,PA6164,14.04,,58,,DGTF_PA6164
,PA7698,9.91,,10,,DGTF_PA7698
